Item URL,Name,Price,Brand,Sizes,SKU,Categories,Description,All images URLs
https://www.copunderdog.com/shop/sneakers/adidas/adidas-night-jogger-white/,Adidas Nite Jogger White,6000.00,Adidas,7,N/A,"Adidas, Sneakers",The all White Nite Jogger features a full length boost midsole with an ortholite liner. reflective panels and accents does justice to the nite jogger name making it perfect for nighttime visibility. Paying perfect homage to the iconic sneaker from the 70s with modern materials and a futuristic design. the full boost midsole makes for an extremely comfortable running sneakers,https://www.copunderdog.com/wp-content/uploads/2021/02/Adobe_Post_20210204_1824590.6903885973171593.png
https://www.copunderdog.com/shop/sneakers/yeezy/yeezy-boost-350-v2-mono-mist/,Adidas Yeezy Boost 350 V2 Mono Mist,26000.00,Yeezy,"6, 9, 11-5",N/A,"Sneakers, Yeezy","Letting go of the primeknit upper everyone has grown to love in the 350 silhouette, the new Yeezy 350 v2 Mono Mist features a once piece upper crafted from a mesh like mono filament, with a brown colour palette and translucent side stripe. The Mono Mist is a blood new take on a silhouette that has never failed","https://www.copunderdog.com/wp-content/uploads/2021/06/mono-mist1.jpg, https://www.copunderdog.com/wp-content/uploads/2021/06/GW2871_FR_eCom.png, https://www.copunderdog.com/wp-content/uploads/2021/06/adidas-yeezy-boost-350-V2-mono-mist-GW2871-1x1_0002_Ebene-2-1-e1623139567368.png, https://www.copunderdog.com/wp-content/uploads/2021/06/GW2871_TPP_eCom.png"
https://www.copunderdog.com/shop/sneakers/adidas/adidas-x-bad-bunny-forum-low-core-black/,Adidas x Bad Bunny Forum Low Core Black,22000.00,Adidas,"7, 10",N/A,"Adidas, Sneakers",N/A,https://www.copunderdog.com/wp-content/uploads/2021/08/bad-bunny.jpg
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-boost-350-v2-mono-ice/,Adidas Yeezy Boost 350 V2 Mono Ice,33000.00,Yeezy,9-5,N/A,"Sneakers, Yeezy","The adidas Yeezy 350 V2 Mono Ice is one of three from the Mono pack. Each sneaker’s upper is constructed from a new monofilament mesh in Ice blue that exposes the model’s inner cage lining. The Mono pack brings back the heel’s pull tab design on each pair. To finish it out, a familiar Boost sole is added for comfort for the wearer.",https://www.copunderdog.com/wp-content/uploads/2021/09/COP-UNDERDOG.png
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-450-dark-slate/,Adidas Yeezy 450 Dark Slate,30999.00,Yeezy,"8, 8-5",N/A,"Sneakers, Yeezy",The Adidas Yeezy 450 Dark Slate features a simplified two-piece construction with a dark Slate foam sole that clasps a black sock-like Primeknit upper. Thick laces and a wrap around sole complete the monochromatic yet bold sneaker,"https://www.copunderdog.com/wp-content/uploads/2021/06/static.highsnobiety.png, https://www.copunderdog.com/wp-content/uploads/2021/06/hypebeast.png, https://www.copunderdog.com/wp-content/uploads/2021/06/image-2-1.png, https://www.copunderdog.com/wp-content/uploads/2021/06/dark-slate.jpg"
https://www.copunderdog.com/shop/sneakers/adidas/adidas-pharrell-williams-solar-hu-glide/,Adidas Pharrell Williams Solar Hu Glide,9999.00,Adidas,"6, 7",N/A,"Adidas, Sneakers",N/A,https://www.copunderdog.com/wp-content/uploads/2021/03/Adobe_Post_20210319_1658310.15232448566452184.png
https://www.copunderdog.com/shop/sneakers/adidas/adidas-pharrell-williams-human-race-nmd-oreo/,Adidas Pharrell Williams Human Race Nmd Oreo,21850.00,Adidas,7,N/A,"Adidas, Sneakers","BRAND NEW
IN STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2021/07/oreo-1.jpg
https://www.copunderdog.com/shop/sneakers/yeezy/yeezy-700-v3-alvah/,Adidas Yeezy 700 v3 Alvah,29999.00,Yeezy,"5, 6-5, 7, 7-5",N/A,"Bae Section, Sneakers, Yeezy",The Adidas Yeezy 700 V3 Alvah is the perfect example of how an all black color scheme can make even the boldest silhouette look classy. Featuring a black and grey upper with a glow in the dark RPU cage for structure and durability. 3M reflective detailing on the toe and an EVA midsole and outsole complete the pair.,"https://www.copunderdog.com/wp-content/uploads/2021/01/adidas-yeezy-700-v3-black-alvah-store-list-2.jpg, https://www.copunderdog.com/wp-content/uploads/2021/01/adidas-yeezy-700-v3-alvah-closer-look-h67799-004.jpg, https://www.copunderdog.com/wp-content/uploads/2021/01/where-to-buy-yeezy-700-v3-alvah-h67799-release-info-4_800x.jpg, https://www.copunderdog.com/wp-content/uploads/2021/01/Adobe_Post_20210108_2248550.03387924876658632.png"
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-700-v3-azael/,Adidas Yeezy 700 V3 Azael,55000.00,Yeezy,8,N/A,"Sneakers, Yeezy",The third incarnation of the Yeezy 700 is one of the most sophisticated designs to date with an RPU cage that glows in the dark and an ortholite sockliner. The sneaker also features 3M reflective details on the toe. The bulky outsole completes the pair with a semi exposed boost outsole that provides the comfort that the brand is known for,"https://www.copunderdog.com/wp-content/uploads/2021/06/adidas-yeezy-yeezy-700-v3-azael_14904925_27540091_1000.png, https://www.copunderdog.com/wp-content/uploads/2021/06/adidas-yeezy-yeezy-700-v3-azael_14904925_27540092_1000.jpg, https://www.copunderdog.com/wp-content/uploads/2021/06/554426.png, https://www.copunderdog.com/wp-content/uploads/2021/06/azael-3.jpg"
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-boost-350-v2-beluga-reflective/,Adidas Yeezy Boost 350 V2 Beluga (Reflective),35999.00,Yeezy,"5, 5-5, 6, 6-5, 7-5, 8, 8-5, 10",N/A,"REPBULIC DAY SALE, Sneakers, Yeezy","One of Yeezy’s most celebrated designs received a reflective makeover with the adidas Yeezy Boost 350 V2 Beluga Reflective. Building off of the original Beluga colorway by adding reflective qualities and speckled orange accents to its Primeknit upper, the 2021 iteration features signature details like a Boost sole and orange side stripe that complete the design.",https://www.copunderdog.com/wp-content/uploads/2021/12/PHOTO-2021-12-28-11-17-53.jpg
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-350v2-light/,Adidas Yeezy Boost 350 V2 Light,30999.00,Yeezy,"8, 9",N/A,"Sneakers, Yeezy","The Yeezy Boost 350 V2 Light arrives in what appears to be a clean triple white color palette, but when exposed to UV light, the white Primeknit upper changes colours to a light pink and its mesh side stripe to dark yellow. An off-white Boost sole and canvas heel tab add the finishing touches.",https://www.copunderdog.com/wp-content/uploads/2021/08/Adobe_Post_20210828_2240010.9402742946148206.png
https://www.copunderdog.com/shop/sneakers/yeezy/yeezy-380-mists/,Adidas Yeezy 380 Mist,23999.00,Yeezy,"6, 9-5",N/A,"Bae Section, Sneakers, Yeezy",The 380 Mist features a Mist Primeknit pattern on its upper and lacks the traditional lateral side stripe. An upgraded translucent Boost midsole and engineered gum outsole grip complete the design. The 380 Mist was originally supposed to debut as a 350 v3. These sneakers released in March of 2020  as a whole different silhouette; the 380’s,"https://www.copunderdog.com/wp-content/uploads/2021/01/15257178_27543643_2048.png, https://www.copunderdog.com/wp-content/uploads/2021/01/15257178_27543641_2048.png, https://www.copunderdog.com/wp-content/uploads/2021/01/Adobe_Post_20210108_2257430.4951210558864424.png, https://www.copunderdog.com/wp-content/uploads/2021/01/15257178_27543639_2048.png"
https://www.copunderdog.com/shop/sneakers/yeezy/yeezy-350-v2-mx-oat/,Adidas Yeezy Boost 350 V2 MX Oat,27999.00,Yeezy,"8, 8-5, 9",N/A,"Bae Section, REPBULIC DAY SALE, Sneakers, Yeezy","The Adidas Yeezy Boost 350 V2 MX Oat features a yellow, orange, and blue swirl-patterned Primeknit upper much like the other pairs in the MX pack, with a mesh side stripe and yellow heel tab. From there, a semi-translucent Boost midsole and pale yellow rope laces complete the design of the recently",https://www.copunderdog.com/wp-content/uploads/2021/10/Adobe_Post_20211025_1815350.042608156369256744.png
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-700-mnvn-bright-cyan/,Adidas Yeezy 700 MNVN Bright Cyan,22000.00,Yeezy,12-5,N/A,"Adidas, Yeezy",The adidas Yeezy Boost 700 MNVN Bright Cyan features a nylon upper with reflective “700” graphic on the lateral side along with other reflective details on the upper. The Bright Cyan upper adds a bright dash of colour to the yeezy palette. The chunky 700 silhouette and black midsole complete the look of this sneaker,"https://www.copunderdog.com/wp-content/uploads/2021/06/17.png, https://www.copunderdog.com/wp-content/uploads/2021/06/adidas-yeezy-yeezy-700-mnvn-bright-cyan_16919486_33713496_1000-1.png, https://www.copunderdog.com/wp-content/uploads/2021/06/adidas-yeezy-yeezy-700-mnvn-bright-cyan_16919486_33713495_1000-1.png"
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-boost-350-v2-carbon/,Adidas Yeezy Boost 350 V2 Carbon,35999.00,Yeezy,8-5,N/A,"Sneakers, Yeezy","The black and grey primeknit upper of the Yeezy 350 v2 Carbon makes for the perfect sneaker in the yeezy lineup. With a contrasting gum sole and infinity lacing. The Carbons feature all the iconic traits of a 350, boost sole, lateral side stripe and its legendary silhouette. However, this pair forgoes the heel tab found in most 350s, resulting in a cleaner more sculpted look",https://www.copunderdog.com/wp-content/uploads/2021/09/34.png
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-500-clay-brown/,Adidas Yeezy 500 Clay Brown,19799.00,Yeezy,10,N/A,"Sneakers, Yeezy",The Adidas Yeezy 500 Clay Brown presents an array of materials commonly found in hiking shoes designed to withstand the great outdoors. Constructed of a Clay Brown mesh upper with leather and suede overlays that wrap around the silhouette. A sturdy adiPRENE sole adds a responsive feel to the trail-ready chunky design,https://www.copunderdog.com/wp-content/uploads/2021/11/clay-brown.jpg
https://www.copunderdog.com/shop/sneakers/adidas/adidas-yeezy-powerphase-calabases-core-white/,Adidas Yeezy Powerphase Calabases Core White,16100.00,Adidas,8,N/A,"Adidas, Sneakers","BRAND NEW
IN  STORE READY TO SHIP",https://www.copunderdog.com/wp-content/uploads/2021/07/calab.jpg
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-slide-ochre/,Adidas Yeezy Slide Ochre,12500.00,Yeezy,"8, 9",N/A,"Sneakers, Yeezy","The Adidas Yeezy Slide Ochre is constructed entirely of an EVA foam composite in a monochromatic colour. 
A soft footbed offers extreme comfort making it the perfect pair for daily wear. Easily the most recognizable slide this year.",https://www.copunderdog.com/wp-content/uploads/2021/12/YEEZY_SLIDE_OCHRE_Left_Social_3_2500x1878_24e120fc-95a7-4b7d-9e78-66dc91a0f9b0_449x.jpg
https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-high-biohack/,Air Jordan 1 High Biohack,35999.00,Jordans,"7, 8, 9",N/A,"Jordans, Sneakers","BRAND NEW
IN STORE READY TO SHIP","https://www.copunderdog.com/wp-content/uploads/2020/10/air-jordan-1-baroque-brown-release-date-3.jpg, https://www.copunderdog.com/wp-content/uploads/2020/10/air-jordan-1-baroque-brown-release-date-1.jpg, https://www.copunderdog.com/wp-content/uploads/2020/10/air-jordan-1-baroque-brown-release-date.jpg, https://www.copunderdog.com/wp-content/uploads/2020/10/air-jordan-1-baroque-brown-release-date-2.jpg, https://www.copunderdog.com/wp-content/uploads/2020/10/air-jordan-1-baroque-brown-release-date-4.jpg"
https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-slide-resin/,Adidas Yeezy Slide Resin,17999.00,Yeezy,9,N/A,"REPBULIC DAY SALE, Sneakers, Yeezy",The Adidas Yeezy Slide Resin is made of a full EVA foam unit providing lightweight durability. A neutral ‘Resin’ green colour tone complements the laid back design of the slide. A soft footbed and an outsole with grooves for traction complete the design,"https://www.copunderdog.com/wp-content/uploads/2021/04/adidas-yeezy-slide-resin_15083385_27544561_1000-1.jpg, https://www.copunderdog.com/wp-content/uploads/2021/04/FX0494_5.png, https://www.copunderdog.com/wp-content/uploads/2021/04/14.jpg"
